"1ab6c7a5","lgr-eng","2023-11-19T16:22:24-03:00","Update FoodDecay.cs"
"00070d2a","Nephtan","2023-11-19T11:35:14-06:00","Update BaseCreature.cs"
"37b33c61","Nephtan","2023-11-17T15:17:09-06:00","Update Players.cs"
"fd24cc43","Nephtan","2023-11-16T16:23:58-06:00","Soul Lantern & Holy Symbol Update"
"b0a6567c","Nephtan","2023-11-16T16:22:09-06:00","Update StudyBook.cs"
"7920236b","Nephtan","2023-11-15T21:12:07-06:00","Update QuestTome.cs"
"baca779a","Nephtan","2023-11-15T15:10:01-06:00","Swapped Royal Shirt and Royal Coat Layers"
"4d891823","Nephtan","2023-11-15T13:59:03-06:00","Added Jester Guildmasters and Guild"
"e4ee0192","Nephtan","2023-11-14T11:00:56-06:00","Update BagOfTricks.cs"
"dc81f370","Nephtan","2023-11-14T10:43:57-06:00","Update SythSpell.cs"
"cc78babd","Nephtan","2023-11-14T10:35:42-06:00","Updated costs for Mystic Spells"
"6be5044a","Nephtan","2023-11-14T10:31:16-06:00","Update JediSpell.cs"
"ad02541c","Nephtan","2023-11-14T10:29:13-06:00","Update OrbOfOrcusSpell.cs"
"e0833137","Nephtan","2023-11-14T10:25:57-06:00","Update Holy Man Spell Costs"
"25bba3ea","Nephtan","2023-11-14T10:24:57-06:00","Update Jester Spell Costs"
"e50498a2","Nephtan","2023-11-14T10:17:58-06:00","Update PlayerMobile.cs"
"1ffb7683","Nephtan","2023-11-14T09:54:12-06:00","Update StudyBook.cs"
"3b9ee487","Nephtan","2023-11-02T12:27:49-05:00","Update Logs.cs"
"e3857e96","Nephtan","2023-11-01T20:26:41-05:00","Update StudyBook.cs"
"401d994c","Nephtan","2023-11-01T18:17:22-05:00","Added Offline Skill Training Books"
"cbd03db1","Nephtan","2023-10-25T22:10:10-05:00","Revised all informational gump and talk text"
"c932b43f","Nephtan","2023-10-23T17:36:24-05:00","Create ClearDeckCommand.cs"
"ae54d22a","Nephtan","2023-10-11T21:42:28-05:00","Merge pull request #12 from Nephtan/small-fix-to-pet-bonding-info-on-stables"
"6fd5037a","Nephtan","2023-10-11T21:40:43-05:00","Merge branch 'main' into small-fix-to-pet-bonding-info-on-stables"
"0f655f25","lgr-eng","2023-10-10T21:19:35-03:00","Update HungerGump.cs"
"bc21cb52","Nephtan","2023-10-10T14:41:18-05:00","Enhanced AutoRestart Functionality with Extended Admin Controls"
"f4ac6ed9","lgr-eng","2023-10-10T08:21:11-03:00","Update Waterskin.cs"
"86e7f2ca","lgr-eng","2023-10-09T22:14:42-03:00","Update Beverage.cs"
"7d46a696","lgr-eng","2023-10-09T22:13:58-03:00","Update Waterskin.cs"
"8a7d648d","lgr-eng","2023-10-09T22:11:59-03:00","Update Waterskin.cs"
"7c79b0a9","lgr-eng","2023-10-09T21:06:26-03:00","Update Food.cs"
"9a270828","lgr-eng","2023-10-09T20:58:14-03:00","Update StableStone.cs"
"1f50892a","lgr-eng","2023-10-09T20:57:42-03:00","Update AnimalTrainer.cs"
"f698d166","lgr-eng","2023-10-09T20:56:58-03:00","Update Shepherd.cs"
"c6c70562","Nephtan","2023-10-04T22:42:23-05:00","csharpier pass for easier comparison/merging"
"ae8108b0","Nephtan","2023-10-04T22:29:22-05:00","manual merge of bond info on stable by Azrok"
"e9c634a4","Nephtan","2023-10-04T22:13:15-05:00","Merge pull request #9 from Nephtan/shoppe-show-customers-on-mouseover"
"4ce086c3","Nephtan","2023-10-04T22:12:47-05:00","Merge branch 'main' into shoppe-show-customers-on-mouseover"
"c784e15c","Nephtan","2023-10-04T22:12:22-05:00","Merge pull request #8 from Nephtan/shoppe-exceeding-resource-on-drop-delete-fix"
"2c672ede","Nephtan","2023-10-04T22:10:03-05:00","Update BondInfo.cs"
